date;rua;numero;bairro;condominio;price;area;price_by_sqm;condominium_fee;iptu;rooms;bathrooms;garage;agent;agent_number;latitude;longitude;property_d;url
25/07/17;Ministro JesuÌ_no Cardoso;148;Vila Nova Conceição;Condomínio Forma Itaim ;1076000;46;23.391;;;;1;2;Omini Gibin Negocios Imobiliários;(11) 2647-7572 ;-2.359.186;-46.679.232;61940482;https://www.vivareal.com.br/imovel/apartamento-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-46m2-venda-RS1076000-id-61940482/
25/07/17;Marcos Lopes;1;Vila Nova Conceição;;1094000;120;9.116;R$1.071 ;R$3.259 ;3;3;1;AgÌ»ncia do Imóvel;(11) 5539-0308 ;-23.595.234;-46.670.707;79807620;https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-120m2-venda-RS1094000-id-79807620/
25/07/17;Presidente Juscelino Kubitschek;1545;Vila Nova Conceição;Condomínio Horizonte Home And Office ;1094000;54;20.259;;;1;1;1;LT Brokers;(11) 94551-5174 ;-23.591.757;-46.683.778;76067872;https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-54m2-venda-RS1094000-id-76067872/
25/07/17;Marcos Lopes;132;Vila Nova Conceição;Condomínio Villa D Este ;1099000;107;10.271;;;3;;1;Brokers SP Imóveis;(11) 2306-8817 ;-23.596.333;-46.671.163;78468162;https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-107m2-venda-RS1099000-id-78468162/
25/07/17;Silva Correia;88;Vila Nova Conceição;Condomínio Dona Isabel ;1100000;106;10.377;R$742 ;R$2.000 ;1;2;2;Chaves  Imobiliária;(11) 3488-8080 ;-23.594.464;-46.677.704;71078900;https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-106m2-venda-RS1100000-id-71078900/
25/07/17;Coronel Artude Paula Ferreira;95;Vila Nova Conceição;Condomínio Loose In Vila Nova ;1100000;72;15.277;R$1.800 ;R$280 ;2;2;2;Century 21 - Ello;(11) 3052-2121 ;-23.596.244;-46.669.762;58658863;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-72m2-venda-RS1100000-id-58658863/
25/07/17;Coronel Artude Paula Ferreira;95;Vila Nova Conceição;Condomínio Loose In Vila Nova ;1100000;72;15.277;R$1.660 ;R$240 ;2;2;2;VIABr Imóveis;(11) 3842-7724 ;-23.596.244;-46.669.762;80734021;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-72m2-venda-RS1100000-id-80734021/
25/07/17;Marcos Lopes;132;Vila Nova Conceição;Condomínio Villa D Este ;1100000;107;10.280;;;3;2;1;Imóveis Maravilhosos;(11) 98915-5701 ;-23.596.333;-46.671.163;79020219;https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-107m2-venda-RS1100000-id-79020219/
25/07/17;Marcos Lopes;132;Vila Nova Conceição;Condomínio Villa D Este ;1100000;112;9.821;R$700 ;R$330 ;2;3;1;Century 21 - Ello;(11) 3052-2121 ;-23.596.333;-46.671.163;80961664;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-112m2-venda-RS1100000-id-80961664/
25/07/17;Monte AprazÌ_vel;139;Vila Nova Conceição;;1100000;73;15.068;R$977 ;R$240 ;1;2;1;cristÌ_vÌ£o chaves Negócios Imobiliários;(11) 98333-2040 ;-23.596.386;-46.672.305;77180552;https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-73m2-venda-RS1100000-id-77180552/
